Gene	OMIM_ID	original_url	lsdb_home_url	comments
ARMCX3	300364	http://www.LOVD.nl/ARMCX3	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARMCX3	
ARMCX4	NA	http://www.LOVD.nl/ARMCX4	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARMCX4	
ARMCX5	NA	http://www.LOVD.nl/ARMCX5	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARMCX5	
ARMCX6	NA	http://www.LOVD.nl/ARMCX6	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARMCX6	
ARSD	300002	http://www.LOVD.nl/ARSD	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARSD	
ARSE	300180	http://www.LOVD.nl/ARSE	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARSE	
ARSF	300003	http://www.LOVD.nl/ARSF	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARSF	
ASB11	300626	http://www.LOVD.nl/ASB11	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ASB11	
ASB12	NA	http://www.LOVD.nl/ASB12	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ASB12	
ASB9	NA	http://www.LOVD.nl/ASB9	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ASB9	
ASL	608310	http://www.LOVD.nl/ASL	http://chromium.liacs.nl/LOVD2/home.php?select_db=ASL	
ASMT	402500	http://www.LOVD.nl/ASMT	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ASMT	
ASMTL	400011	http://www.LOVD.nl/ASMTL	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ASMTL	
ASPA	608034	http://www.LOVD.nl/ASPA	http://grenada.lumc.nl/LOVD2/vumc/home.php?select_db=ASPA	
ASS1	603470	http://www.LOVD.nl/ASS1	http://chromium.liacs.nl/LOVD2/home.php?select_db=ASS1	
ASS1	603470	http://lovd.bx.psu.edu/home.php?select_db=ASS1	http://lovd.bx.psu.edu/home.php?select_db=ASS1	
ATM	607585	http://www.LOVD.nl/ATM	http://chromium.liacs.nl/LOVD2/home.php?select_db=ATM	
ATP11C	300516	http://www.LOVD.nl/ATP11C	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ATP11C	
ATP1A2	182340	http://www.LOVD.nl/ATP1A2	http://chromium.liacs.nl/LOVD2/home.php?select_db=ATP1A2	
ATP1A2	182340	http://grenada.lumc.nl/LOVD2/FHM/home.php?select_db=ATP1A2	http://grenada.lumc.nl/LOVD2/FHM/home.php?select_db=ATP1A2	
ATP1B4	NA	http://www.LOVD.nl/ATP1B4	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ATP1B4	
ATP2B3	300014	http://www.LOVD.nl/ATP2B3	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ATP2B3	
ATP6AP2	300556	http://www.LOVD.nl/ATP6AP2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ATP6AP2	
ATP7A	300011	http://www.LOVD.nl/ATP7A	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ATP7A	
ATP8B1	NA	https://research.cchmc.org/LOVD/home.php?select_db=ATP8B1	https://research.cchmc.org/LOVD/home.php?select_db=ATP8B1	
ATRX	300032	http://www.LOVD.nl/ATRX	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ATRX	
ATRX	300032	http://lovd.bx.psu.edu/home.php?select_db=ATRX	http://lovd.bx.psu.edu/home.php?select_db=ATRX	
ATXN3L	NA	http://www.LOVD.nl/ATXN3L	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ATXN3L	
AVPR2	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AVPR2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AVPR2	
AWAT1	NA	http://www.LOVD.nl/AWAT1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AWAT1	
AWAT2	NA	http://www.LOVD.nl/AWAT2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AWAT2	
B3GALTL	610308	http://www.LOVD.nl/B3GALTL	http://chromium.liacs.nl/LOVD2/home.php?select_db=B3GALTL	
BAG3	NA	http://www.dmd.nl/nmdb2/home.php?select_db=BAG3	http://www.dmd.nl/nmdb2/home.php?select_db=BAG3	
BCL11A	NA	http://lovd.bx.psu.edu/home.php?select_db=BCL11A	http://lovd.bx.psu.edu/home.php?select_db=BCL11A	
BCOR	300485	http://www.LOVD.nl/BCOR	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BCOR	
BCORL1	300688	http://www.LOVD.nl/BCORL1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BCORL1	
BEND2	NA	http://www.LOVD.nl/BEND2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BEND2	
BEX2	300691	http://www.LOVD.nl/BEX2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BEX2	
BEX4	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BEX4	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BEX4	
BFSP1	NA	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=BFSP1	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=BFSP1	
BFSP2	NA	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=BFSP2	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=BFSP2	
BGN	301870	http://www.LOVD.nl/BGN	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BGN	
BHLHB9	NA	http://www.LOVD.nl/BHLHB9	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BHLHB9	
BIN1	NA	http://www.dmd.nl/nmdb2/home.php?select_db=BIN1	http://www.dmd.nl/nmdb2/home.php?select_db=BIN1	
BMD_nab	NA	http://grenada.lumc.nl/LOVD2/DOL/home.php?select_db=BMD_nab	http://grenada.lumc.nl/LOVD2/DOL/home.php?select_db=BMD_nab	
BMD_pat	NA	http://grenada.lumc.nl/LOVD2/DOL/home.php?select_db=BMD_pat	http://grenada.lumc.nl/LOVD2/DOL/home.php?select_db=BMD_pat	
BMP15	300247	http://www.LOVD.nl/BMP15	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BMP15	
BMP2KL	NA	http://www.LOVD.nl/BMP2KL	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BMP2KL	
BMX	300101	http://www.LOVD.nl/BMX	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BMX	
BRCA1	NA	http://chromium.liacs.nl/LOVD2/cancer/home.php?select_db=BRCA1	http://chromium.liacs.nl/LOVD2/cancer/home.php?select_db=BRCA1	
BRCA1	NA	http://www.china-hvp.org/LOVD/home.php?select_db=BRCA1	http://www.china-hvp.org/LOVD/home.php?select_db=BRCA1	
BRCA1	NA	http://www.genomed.org/LOVD/home.php?select_db=BRCA1	http://www.genomed.org/LOVD/home.php?select_db=BRCA1	
BRCA2	NA	http://chromium.liacs.nl/LOVD2/cancer/home.php?select_db=BRCA2	http://chromium.liacs.nl/LOVD2/cancer/home.php?select_db=BRCA2	
BRCA2	NA	http://www.china-hvp.org/LOVD/home.php?select_db=BRCA2	http://www.china-hvp.org/LOVD/home.php?select_db=BRCA2	
BRCA2	NA	http://www.genomed.org/LOVD/home.php?select_db=BRCA2	http://www.genomed.org/LOVD/home.php?select_db=BRCA2	
BRWD3	300553	http://www.LOVD.nl/BRWD3	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BRWD3	
BTK	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BTK	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=BTK	
C1GALT1C1	300611	http://www.LOVD.nl/C1GALT1C1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=C1GALT1C1	
CA5B	300230	http://www.LOVD.nl/CA5B	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CA5B	
CACNA1A	601011	http://www.LOVD.nl/CACNA1A	http://chromium.liacs.nl/LOVD2/home.php?select_db=CACNA1A	
CACNA1A	601011	http://grenada.lumc.nl/LOVD2/FHM/home.php?select_db=CACNA1A	http://grenada.lumc.nl/LOVD2/FHM/home.php?select_db=CACNA1A	
CACNA1C	NA	http://www.china-hvp.org/LOVD/home.php?select_db=CACNA1C	http://www.china-hvp.org/LOVD/home.php?select_db=CACNA1C	
CACNA1C	NA	http://www.genomed.org/LOVD/home.php?select_db=CACNA1C	http://www.genomed.org/LOVD/home.php?select_db=CACNA1C	
CACNA1F	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CACNA1F	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CACNA1F	
CACNA1S	114208	http://www.LOVD.nl/CACNA1S	http://chromium.liacs.nl/LOVD2/home.php?select_db=CACNA1S	
CAPN3	NA	http://www.dmd.nl/nmdb2/home.php?select_db=CAPN3	http://www.dmd.nl/nmdb2/home.php?select_db=CAPN3	
CAPN6	300146	http://www.LOVD.nl/CAPN6	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CAPN6	
CASK	300172	http://www.LOVD.nl/CASK	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CASK	
CAV3	NA	http://www.china-hvp.org/LOVD/home.php?select_db=CAV3	http://www.china-hvp.org/LOVD/home.php?select_db=CAV3	
CAV3	NA	http://www.dmd.nl/nmdb2/home.php?select_db=CAV3	http://www.dmd.nl/nmdb2/home.php?select_db=CAV3	
CAV3	NA	http://www.genomed.org/LOVD/home.php?select_db=CAV3	http://www.genomed.org/LOVD/home.php?select_db=CAV3	
CCDC120	NA	http://www.LOVD.nl/CCDC120	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CCDC120	
CCDC22	NA	http://www.LOVD.nl/CCDC22	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CCDC22	
CCNB3	300456	http://www.LOVD.nl/CCNB3	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CCNB3	
CD40LG	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CD40LG	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CD40LG	
CD40LG	NA	https://research.cchmc.org/LOVD/home.php?select_db=CD40LG	https://research.cchmc.org/LOVD/home.php?select_db=CD40LG	
CD99	450000	http://www.LOVD.nl/CD99	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CD99	
CD99L2	NA	http://www.LOVD.nl/CD99L2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CD99L2	
CDH23	NA	http://grenada.lumc.nl/LOVD2/Usher_montpellier/home.php?select_db=CDH23	http://grenada.lumc.nl/LOVD2/Usher_montpellier/home.php?select_db=CDH23	
CDH23	NA	https://research.cchmc.org/LOVD/home.php?select_db=CDH23	https://research.cchmc.org/LOVD/home.php?select_db=CDH23	
CDK16	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CDK16	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CDK16	
CDKL5	300203	http://www.LOVD.nl/CDKL5	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CDKL5	
CDKN2A	600160	http://www.LOVD.nl/CDKN2A	http://chromium.liacs.nl/LOVD2/home.php?select_db=CDKN2A	
CDR1	302650	http://www.LOVD.nl/CDR1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CDR1	
CENPI	300065	http://www.LOVD.nl/CENPI	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CENPI	
CFL2	NA	http://www.dmd.nl/nmdb2/home.php?select_db=CFL2	http://www.dmd.nl/nmdb2/home.php?select_db=CFL2	
CFP	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CFP	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CFP	
CHM	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CHM	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CHM	
CHM	NA	http://grenada.lumc.nl/LOVD2/Usher_montpellier/home.php?select_db=CHM	http://grenada.lumc.nl/LOVD2/Usher_montpellier/home.php?select_db=CHM	
CHMP4B	NA	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CHMP4B	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CHMP4B	
CHRDL1	300350	http://www.LOVD.nl/CHRDL1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CHRDL1	
CHRNG	100730	http://grenada.lumc.nl/LOVD2/shared1/home.php?select_db=CHRNG	http://grenada.lumc.nl/LOVD2/shared1/home.php?select_db=CHRNG	
CITED1	300149	http://www.LOVD.nl/CITED1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CITED1	
CLCN1	118425	http://www.LOVD.nl/CLCN1	http://chromium.liacs.nl/LOVD2/home.php?select_db=CLCN1	
CLCN4	302910	http://www.LOVD.nl/CLCN4	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CLCN4	
CLCN5	300008	http://www.LOVD.nl/CLCN5	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CLCN5	
CLDN2	300520	http://www.LOVD.nl/CLDN2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CLDN2	
CLIC2	300138	http://www.LOVD.nl/CLIC2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CLIC2	
CLRN1	NA	http://grenada.lumc.nl/LOVD2/Usher_montpellier/home.php?select_db=CLRN1	http://grenada.lumc.nl/LOVD2/Usher_montpellier/home.php?select_db=CLRN1	
CLRN1	NA	https://research.cchmc.org/LOVD/home.php?select_db=CLRN1	https://research.cchmc.org/LOVD/home.php?select_db=CLRN1	
CNGA2	300338	http://www.LOVD.nl/CNGA2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CNGA2	
CNKSR2	300724	http://www.LOVD.nl/CNKSR2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CNKSR2	
CNTN1	NA	http://www.dmd.nl/nmdb2/home.php?select_db=CNTN1	http://www.dmd.nl/nmdb2/home.php?select_db=CNTN1	
CNTNAP2	NA	http://lovd.bx.psu.edu/home.php?select_db=CNTNAP2	http://lovd.bx.psu.edu/home.php?select_db=CNTNAP2	
COL1A1	NA	https://oi.gene.le.ac.uk/home.php?select_db=COL1A1	https://oi.gene.le.ac.uk/home.php?select_db=COL1A1	
COL1A2	NA	https://oi.gene.le.ac.uk/home.php?select_db=COL1A2	https://oi.gene.le.ac.uk/home.php?select_db=COL1A2	
COL2A1	NA	http://medgen.ugent.be/LOVD2/home.php?select_db=COL2A1	http://medgen.ugent.be/LOVD2/home.php?select_db=COL2A1	
COL3A1	NA	https://eds.gene.le.ac.uk/home.php?select_db=COL3A1	https://eds.gene.le.ac.uk/home.php?select_db=COL3A1	
COL4A5	303630	http://www.LOVD.nl/COL4A5	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=COL4A5	
COL4A5	303630	http://chromium.liacs.nl/LOVD2/home.php?select_db=COL4A5	http://chromium.liacs.nl/LOVD2/home.php?select_db=COL4A5	
COL4A6	303631	http://www.LOVD.nl/COL4A6	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=COL4A6	
COL5A1	NA	https://eds.gene.le.ac.uk/home.php?select_db=COL5A1	https://eds.gene.le.ac.uk/home.php?select_db=COL5A1	
COL5A2	NA	https://eds.gene.le.ac.uk/home.php?select_db=COL5A2	https://eds.gene.le.ac.uk/home.php?select_db=COL5A2	
COL6A1	NA	http://www.dmd.nl/nmdb2/home.php?select_db=COL6A1	http://www.dmd.nl/nmdb2/home.php?select_db=COL6A1	
COL6A2	NA	http://www.dmd.nl/nmdb2/home.php?select_db=COL6A2	http://www.dmd.nl/nmdb2/home.php?select_db=COL6A2	
COL6A3	NA	http://www.dmd.nl/nmdb2/home.php?select_db=COL6A3	http://www.dmd.nl/nmdb2/home.php?select_db=COL6A3	
CPS1	608307	http://www.LOVD.nl/CPS1	http://chromium.liacs.nl/LOVD2/home.php?select_db=CPS1	
CPXCR1	NA	http://www.LOVD.nl/CPXCR1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CPXCR1	
CREBBP	600140	http://www.LOVD.nl/CREBBP	http://chromium.liacs.nl/LOVD2/home.php?select_db=CREBBP	
CRTAP	NA	https://oi.gene.le.ac.uk/home.php?select_db=CRTAP	https://oi.gene.le.ac.uk/home.php?select_db=CRTAP	
CRYAA	123580	http://www.LOVD.nl/CRYAA	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYAA	
CRYAB	123590	http://www.LOVD.nl/CRYAB	http://www.dmd.nl/nmdb2/home.php?select_db=CRYAB	
CRYAB	123590	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYAB	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYAB	
CRYBA1	123610	http://www.LOVD.nl/CRYBA1	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYBA1	
CRYBA4	123631	http://www.LOVD.nl/CRYBA4	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYBA4	
CRYBB1	600929	http://www.LOVD.nl/CRYBB1	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYBB1	
CRYBB2	123620	http://www.LOVD.nl/CRYBB2	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYBB2	
CRYBB3	123630	http://www.LOVD.nl/CRYBB3	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYBB3	
CRYGC	123680	http://www.LOVD.nl/CRYGC	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYGC	
CRYGD	123690	http://www.LOVD.nl/CRYGD	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYGD	
CRYGS	123730	http://www.LOVD.nl/CRYGS	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYGS	
CRYM	NA	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYM	http://grenada.lumc.nl/LOVD2/eye/home.php?select_db=CRYM	
CSAG1	NA	http://www.LOVD.nl/CSAG1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CSAG1	
CSAG4	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CSAG4	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CSAG4	
CSF2RA	425000	http://www.LOVD.nl/CSF2RA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CSF2RA	
CSNK2A1	NA	http://lovd.bx.psu.edu/home.php?select_db=CSNK2A1	http://lovd.bx.psu.edu/home.php?select_db=CSNK2A1	
CSTF2	600368	http://www.LOVD.nl/CSTF2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CSTF2	
CT45A2	300793	http://www.LOVD.nl/CT45A2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CT45A2	
CT45A5	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CT45A5	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CT45A5	
CTAG2	300396	http://www.LOVD.nl/CTAG2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CTAG2	
CTPS2	300380	http://www.LOVD.nl/CTPS2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CTPS2	
CUL4B	300304	http://www.LOVD.nl/CUL4B	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CUL4B	
CXorf1	300565	http://www.LOVD.nl/CXorf1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf1	
CXorf15	300677	http://www.LOVD.nl/CXorf15	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf15	
CXorf21	NA	http://www.LOVD.nl/CXorf21	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf21	
CXorf22	NA	http://www.LOVD.nl/CXorf22	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf22	
CXorf23	NA	http://www.LOVD.nl/CXorf23	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf23	
CXorf24	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf24	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf24	
CXorf25	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf25	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf25	
CXorf27	NA	http://www.LOVD.nl/CXorf27	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf27	
CXorf28	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf28	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf28	
CXorf30	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf30	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf30	
CXorf36	NA	http://www.LOVD.nl/CXorf36	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf36	
CXorf38	NA	http://www.LOVD.nl/CXorf38	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf38	
CXorf41	NA	http://www.LOVD.nl/CXorf41	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf41	
CXorf56	NA	http://www.LOVD.nl/CXorf56	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf56	
CXorf57	NA	http://www.LOVD.nl/CXorf57	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf57	
CXorf58	NA	http://www.LOVD.nl/CXorf58	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf58	
CXorf59	NA	http://www.LOVD.nl/CXorf59	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=CXorf59	
